ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0003206	cardiac chamber morphogenesis	11/192	129/18986	0.08527131782945736	8.432089793281653	8.560828690554436	8.00492644034415e-8	2.5895937034513326e-4	2.0273529489966345e-4	APLNR/FOXC1/TBX3/DNAH11/NOS3/NPY2R/FOXF1/SMAD6/DSP/DLL4/BMP5	11
GO:0051937	catecholamine transport	8/192	65/18986	0.12307692307692308	12.17051282051282	9.118093696262294	2.9147178065051675e-7	4.7145560520221085e-4	3.690953180237597e-4	CRH/VIP/RAB3B/SNCG/TGM2/CARTPT/ADORA2A/DRD2	8
GO:0050432	catecholamine secretion	7/192	49/18986	0.14285714285714285	14.126488095238095	9.299022601607348	5.815152446748912e-7	5.969539542147958e-4	4.6734603883211547e-4	CRH/VIP/SNCG/TGM2/CARTPT/ADORA2A/DRD2	7
GO:0015844	monoamine transport	8/192	77/18986	0.1038961038961039	10.273809523809524	8.24167637451785	1.0957201807088633e-6	5.969539542147958e-4	4.6734603883211547e-4	CRH/VIP/RAB3B/SNCG/TGM2/CARTPT/ADORA2A/DRD2	8
GO:0009306	protein secretion	16/192	371/18986	0.0431266846361186	4.264600179694519	6.418473294371204	1.2378813629676938e-6	5.969539542147958e-4	4.6734603883211547e-4	VGF/ADCYAP1/ADTRP/IL1B/CRH/VIP/SCG2/ARL4D/SNCG/CBLN4/PCSK1/CARTPT/VSNL1/SNAP25/ADORA2A/DRD2	16
GO:0035592	establishment of protein localization to extracellular region	16/192	374/18986	0.0427807486631016	4.230392156862744	6.377358483090033	1.3750629308784813e-6	5.969539542147958e-4	4.6734603883211547e-4	VGF/ADCYAP1/ADTRP/IL1B/CRH/VIP/SCG2/ARL4D/SNCG/CBLN4/PCSK1/CARTPT/VSNL1/SNAP25/ADORA2A/DRD2	16
GO:0003205	cardiac chamber development	11/192	172/18986	0.06395348837209303	6.32406734496124	7.089465570565187	1.4545576558812893e-6	5.969539542147958e-4	4.6734603883211547e-4	APLNR/FOXC1/TBX3/DNAH11/NOS3/NPY2R/FOXF1/SMAD6/DSP/DLL4/BMP5	11
GO:0071692	protein localization to extracellular region	16/192	382/18986	0.041884816753926704	4.141797556719022	6.269790327031639	1.810426752491785e-6	5.969539542147958e-4	4.6734603883211547e-4	VGF/ADCYAP1/ADTRP/IL1B/CRH/VIP/SCG2/ARL4D/SNCG/CBLN4/PCSK1/CARTPT/VSNL1/SNAP25/ADORA2A/DRD2	16
GO:0072132	mesenchyme morphogenesis	7/192	58/18986	0.1206896551724138	11.93444683908046	8.429557053912795	1.8850706147583671e-6	5.969539542147958e-4	4.6734603883211547e-4	APLNR/LEF1/FOXC1/TBX3/NOS3/FOXF1/BMP5	7
GO:0051952	regulation of amine transport	8/192	83/18986	0.0963855421686747	9.531124497991968	7.872746412275405	1.950468453914015e-6	5.969539542147958e-4	4.6734603883211547e-4	CRH/RAB3B/SNCG/RGS4/CARTPT/ADORA2A/SLC17A8/DRD2	8
GO:2000425	regulation of apoptotic cell clearance	4/192	10/18986	0.4	39.55416666666667	12.325804878999902	2.0298279741461374e-6	5.969539542147958e-4	4.6734603883211547e-4	C4B/C4A/TGM2/CCL2	4
GO:0048167	regulation of synaptic plasticity	12/192	220/18986	0.05454545454545454	5.39375	6.625324138247573	2.56960452610792e-6	6.927225534965934e-4	5.423217973522505e-4	GFAP/EGR2/ARC/VGF/PTGS2/CRH/CLN3/ITPR3/SYP/SNAP25/ADORA2A/DRD2	12
GO:0015695	organic cation transport	9/192	120/18986	0.075	7.4164062500000005	7.1267063591691056	3.6493523190299258e-6	9.081272886201392e-4	7.109588404523078e-4	CRH/VIP/SLC47A2/SLC19A3/CLN3/RGS4/CARTPT/ADORA2A/SLC17A8	9
GO:0003007	heart morphogenesis	13/192	274/18986	0.04744525547445255	4.691643856447688	6.221301911262148	4.553847297626359e-6	0.0010522640005586623	8.238012479766182e-4	APLNR/FOXC1/TBX3/EPHB4/DNAH11/NOS3/NPY2R/FOXF1/SMAD6/DSP/DLL4/DKK1/BMP5	13
GO:0002040	sprouting angiogenesis	11/192	196/18986	0.05612244897959184	5.5496917517006805	6.4713207042401955	5.1666676026734175e-6	0.0011142779796432336	8.72351035230333e-4	ANGPT1/PTGS2/ADTRP/APLNR/LEF1/CARD10/EPHB4/GATA2/FLT4/TGM2/DLL4	11
GO:0051051	negative regulation of transport	17/192	467/18986	0.03640256959314775	3.5996832619557453	5.749319134809264	5.6372105494353995e-6	0.0011155679896692537	8.733609641728544e-4	ANGPT1/PTGS2/ADTRP/IL1B/CRH/KCNE4/RGS4/NOS3/CARTPT/FOXF1/OSTN/VSNL1/PTGER3/PLN/FCGR2B/SLC26A5/DRD2	17
GO:0015837	amine transport	8/192	96/18986	0.08333333333333333	8.240451388888888	7.188389207858475	5.862980801637556e-6	0.0011155679896692537	8.733609641728544e-4	CRH/RAB3B/SNCG/RGS4/CARTPT/ADORA2A/SLC17A8/DRD2	8
GO:0003231	cardiac ventricle development	9/192	128/18986	0.0703125	6.952880859375	6.830156638741914	6.207178922425523e-6	0.0011155679896692537	8.733609641728544e-4	APLNR/FOXC1/TBX3/NOS3/NPY2R/FOXF1/SMAD6/DSP/DLL4	9
GO:0001504	neurotransmitter uptake	6/192	46/18986	0.13043478260869565	12.898097826086955	8.166063781982807	6.618106035939285e-6	0.0011268196329612414	8.821697020758959e-4	GFAP/RAB3B/SLC1A7/SNAP25/SLC17A8/DRD2	6
GO:0007622	rhythmic behavior	6/192	48/18986	0.125	12.360677083333334	7.9653356650640665	8.526163034254775e-6	0.0013791068707907099	0.001079681487390368	EGR2/CRH/EGR1/ADORA2A/PLN/DRD2	6
GO:0001963	synaptic transmission, dopaminergic	5/192	30/18986	0.16666666666666666	16.480902777777775	8.576890477498681	1.164946675093629e-5	0.0017945726161561378	0.0014049432081580308	PTGS2/CRH/RAB3B/ADORA2A/DRD2	5
GO:0003197	endocardial cushion development	6/192	52/18986	0.11538461538461539	11.409855769230768	7.59751386942105	1.3678423503733008e-5	0.002011350001571649	0.0015746548779895515	APLNR/TBX3/NOS3/FOXF1/DKK1/BMP5	6
GO:0006959	humoral immune response	13/192	310/18986	0.041935483870967745	4.146807795698925	5.646189311012041	1.708924275469375e-5	0.0022831529284613487	0.0017874451951120167	C4B/FOXJ1/C4A/IL1B/CCL3L1/VIP/KLK7/LTF/C7/CCL2/FCGR2B/CXCL8/CXCL5	13
GO:0046942	carboxylic acid transport	14/192	357/18986	0.0392156862745098	3.8778594771241828	5.548239813978089	1.7103972485208388e-5	0.0022831529284613487	0.0017874451951120167	GFAP/PTGS2/IL1B/SLCO4A1/CLN3/RGS4/ABCC6/SLC1A7/ADORA2A/SLC17A8/SLC26A7/SLC26A5/SLC25A32/DRD2	14
GO:0015849	organic acid transport	14/192	358/18986	0.03910614525139665	3.8670274674115457	5.535241277350316	1.764414936987132e-5	0.0022831529284613487	0.0017874451951120167	GFAP/PTGS2/IL1B/SLCO4A1/CLN3/RGS4/ABCC6/SLC1A7/ADORA2A/SLC17A8/SLC26A7/SLC26A5/SLC25A32/DRD2	14
GO:0050802	circadian sleep/wake cycle, sleep	4/192	17/18986	0.23529411764705882	23.267156862745097	9.283533625833718	2.176192911343997e-5	0.0027076861800760885	0.0021198057265966225	CRH/ADORA2A/PLN/DRD2	4
GO:0051047	positive regulation of secretion	13/192	322/18986	0.040372670807453416	3.992268374741201	5.473591965229647	2.544213736829373e-5	0.0029878877291934143	0.002339171195457368	ADCYAP1/RPH3A/IL1B/CRH/GATA2/PCSK1/CARTPT/P2RY2/RAB27B/VSNL1/SNAP25/ADORA2A/DRD2	13
GO:0042220	response to cocaine	6/192	58/18986	0.10344827586206896	10.229525862068966	7.115203537942915	2.5861161180035734e-5	0.0029878877291934143	0.002339171195457368	ARC/CRH/RGS4/TGM2/FOSB/DRD2	6
GO:0002237	response to molecule of bacterial origin	14/192	375/18986	0.037333333333333336	3.691722222222223	5.321172317717976	2.943464863348843e-5	0.00328348580445983	0.002570590367048028	C4B/PTGS2/IL1B/LTF/MPO/PCSK1/NOS3/SMAD6/CCL2/PCK1/GBP5/FCGR2B/CXCL8/CXCL5	14
GO:0048168	regulation of neuronal synaptic plasticity	6/192	60/18986	0.1	9.888541666666667	6.969843453847383	3.145636002892707e-5	0.003392044156452636	0.002655579025599949	EGR2/ARC/VGF/CLN3/SYP/DRD2	6
GO:0045807	positive regulation of endocytosis	9/192	159/18986	0.05660377358490566	5.597287735849057	5.883774110760414	3.538565215455928e-5	0.003692664023225783	0.00289092968026722	C4B/ANGPT1/C4A/APLNR/CLN3/GATA2/CCL2/FCGR2B/DRD2	9
GO:0043542	endothelial cell migration	12/192	287/18986	0.041811846689895474	4.1345818815331015	5.408261474167125	3.729339165882996e-5	0.003770128813009841	0.002951575668787661	ANGPT1/PTGS2/ADTRP/CLN3/CARD10/EPHB4/ATOH8/SCG2/GATA2/FLT4/NOS3/DLL4	12
GO:0022410	circadian sleep/wake cycle process	4/192	20/18986	0.2	19.777083333333334	8.491835297082938	4.326061366001275e-5	0.0040069941745285494	0.0031370139051218383	CRH/ADORA2A/PLN/DRD2	4
GO:0051580	regulation of neurotransmitter uptake	4/192	20/18986	0.2	19.777083333333334	8.491835297082938	4.326061366001275e-5	0.0040069941745285494	0.0031370139051218383	GFAP/RAB3B/SLC17A8/DRD2	4
GO:0023061	signal release	16/192	493/18986	0.032454361054766734	3.209263015551048	5.02358206065589	4.335233264559481e-5	0.0040069941745285494	0.0031370139051218383	VGF/ADCYAP1/PTGS2/RPH3A/IL1B/CRH/VIP/TBX3/SNCG/SYP/TGM2/CARTPT/VSNL1/SNAP25/ADORA2A/DRD2	16
GO:0001763	morphogenesis of a branching structure	10/192	207/18986	0.04830917874396135	4.777073268921095	5.522689860419674	5.051164015523563e-5	0.004539032108394091	0.0035535381933771036	LEF1/TBX3/PGR/TIE1/PAK1/NOTCH4/TGM2/FOXF1/DLL4/DRD2	10
GO:1903532	positive regulation of secretion by cell	12/192	298/18986	0.040268456375838924	3.9819630872483223	5.24415218391072	5.3651771824777076e-5	0.0046435184266050466	0.003635338919518993	ADCYAP1/RPH3A/IL1B/CRH/GATA2/PCSK1/CARTPT/RAB27B/VSNL1/SNAP25/ADORA2A/DRD2	12
GO:0006836	neurotransmitter transport	10/192	209/18986	0.04784688995215311	4.731359649122807	5.482434534834267	5.4768564381801976e-5	0.0046435184266050466	0.003635338919518993	GFAP/RPH3A/RAB3B/SNCG/SYP/SLC1A7/SNAP25/ADORA2A/SLC17A8/DRD2	10
GO:0051954	positive regulation of amine transport	5/192	41/18986	0.12195121951219512	12.059197154471546	7.164972498409711	5.598059308735606e-5	0.0046435184266050466	0.003635338919518993	RAB3B/CARTPT/ADORA2A/SLC17A8/DRD2	5
GO:2000630	positive regulation of miRNA metabolic process	6/192	67/18986	0.08955223880597014	8.855410447761193	6.51033742989814	5.9136688717634244e-5	0.004782679700038669	0.003744286133016526	EGR1/ATOH8/GATA2/XIST/NEAT1/SMAD6	6
GO:0050433	regulation of catecholamine secretion	5/192	42/18986	0.11904761904761904	11.772073412698411	7.063735210503147	6.302757499355234e-5	0.004973029392783947	0.003893307970076687	CRH/SNCG/CARTPT/ADORA2A/DRD2	5
GO:0051924	regulation of calcium ion transport	11/192	258/18986	0.04263565891472868	4.216044896640827	5.256934422125507	6.624610768676332e-5	0.005102527580159031	0.003994690102615352	AHNAK/PTGS2/APLNR/CRH/RGS4/MCHR1/NOS3/CCL2/ADORA2A/PLN/DRD2	11
GO:0030100	regulation of endocytosis	12/192	307/18986	0.03908794788273615	3.865228013029316	5.115615199553521	7.133692535275362e-5	0.0053660148577899065	0.00420097022625641	C4B/ARC/ANGPT1/C4A/APLNR/CLN3/GATA2/TGM2/CCL2/DKK1/FCGR2B/DRD2	12
GO:0051048	negative regulation of secretion	9/192	175/18986	0.05142857142857143	5.085535714285714	5.4879279094943465	7.461594514490887e-5	0.0053660148577899065	0.00420097022625641	ADTRP/IL1B/CRH/CARTPT/FOXF1/VSNL1/PTGER3/FCGR2B/DRD2	9
GO:0015711	organic anion transport	15/192	462/18986	0.032467532467532464	3.210565476190476	4.86186939920343	7.521978218696612e-5	0.0053660148577899065	0.00420097022625641	GFAP/PTGS2/IL1B/SLCO4A1/CLN3/RGS4/ABCC6/SLC52A3/SLC1A7/ADORA2A/SLC17A8/SLC26A7/SLC26A5/SLC25A32/DRD2	15
GO:0042745	circadian sleep/wake cycle	4/192	23/18986	0.17391304347826086	17.19746376811594	7.856040550229469	7.721030035835904e-5	0.0053660148577899065	0.00420097022625641	CRH/ADORA2A/PLN/DRD2	4
GO:0050806	positive regulation of synaptic transmission	9/192	176/18986	0.05113636363636364	5.056640625000001	5.464806331783132	7.796064862940513e-5	0.0053660148577899065	0.00420097022625641	GFAP/ARC/PTGS2/CRH/ITPR3/CCL2/SNAP25/ADORA2A/DRD2	9
GO:0035282	segmentation	7/192	102/18986	0.06862745098039216	6.786254084967321	5.92238851576147	7.963802930112315e-5	0.005367271349773612	0.00420195391444084	EGR2/LEF1/FOXC1/TBX3/TBX18/FOXF1/DKK1	7
GO:0043279	response to alkaloid	7/192	103/18986	0.06796116504854369	6.720368122977345	5.883738974162289	8.472320555183102e-5	0.005593460611432109	0.0043790339969431895	ARC/CRH/RGS4/TGM2/ADORA2A/FOSB/DRD2	7
GO:0030199	collagen fibril organization	6/192	72/18986	0.08333333333333333	8.240451388888888	6.221376749248569	8.879331740926932e-5	0.00571863141181556	0.004477028284984377	AEBP1/FOXC1/COL14A1/COL27A1/COL1A2/COL3A1	6
GO:0030431	sleep	4/192	24/18986	0.16666666666666666	16.480902777777775	7.670190259549007	9.192235963351132e-5	0.00571863141181556	0.004477028284984377	CRH/ADORA2A/PLN/DRD2	4
GO:0051590	positive regulation of neurotransmitter transport	4/192	24/18986	0.16666666666666666	16.480902777777775	7.670190259549007	9.192235963351132e-5	0.00571863141181556	0.004477028284984377	RAB3B/ADORA2A/SLC17A8/DRD2	4
GO:0048512	circadian behavior	5/192	46/18986	0.10869565217391304	10.748414855072463	6.690664225773245	9.829233590971684e-5	0.005946308170953947	0.004655272906309346	CRH/EGR1/ADORA2A/PLN/DRD2	5
GO:0043534	blood vessel endothelial cell migration	9/192	182/18986	0.04945054945054945	4.889938186813187	5.329660886279978	1.007904929653868e-4	0.005946308170953947	0.004655272906309346	ANGPT1/PTGS2/ADTRP/CLN3/CARD10/EPHB4/GATA2/NOS3/DLL4	9
GO:0006835	dicarboxylic acid transport	7/192	106/18986	0.0660377358490566	6.530169025157233	5.770808287954895	1.0158932600748954e-4	0.005946308170953947	0.004655272906309346	GFAP/SLC1A7/ADORA2A/SLC17A8/SLC26A7/SLC26A5/SLC25A32	7
GO:0060411	cardiac septum morphogenesis	6/192	74/18986	0.08108108108108109	8.017736486486486	6.113508082012189	1.0353648403742793e-4	0.005946308170953947	0.004655272906309346	APLNR/TBX3/DNAH11/NOS3/SMAD6/BMP5	6
GO:0007389	pattern specification process	15/192	476/18986	0.031512605042016806	3.1161370798319328	4.725963552612196	1.0477266329037867e-4	0.005946308170953947	0.004655272906309346	MEIS3/EGR2/FOXJ1/ARC/APLNR/LEF1/FOXC1/TBX3/TBX18/DNAH11/FOXF1/SMAD6/DLL4/DKK1/BMP5	15
GO:0003170	heart valve development	6/192	75/18986	0.08	7.910833333333334	6.061081273620159	1.1160343488540656e-4	0.0062247777905912105	0.004873282474306501	APLNR/TIE1/NOS3/SMAD6/DLL4/DKK1	6
GO:0031652	positive regulation of heat generation	3/192	10/18986	0.3	29.665625000000002	9.164428414168333	1.1595335723455627e-4	0.006357781536504907	0.004977409054528857	PTGS2/IL1B/PTGER3	3
GO:0060291	long-term synaptic potentiation	7/192	110/18986	0.06363636363636363	6.292708333333333	5.626853705692582	1.2822979614843285e-4	0.006853549970049756	0.0053655385106775285	GFAP/ARC/CRH/ITPR3/SNAP25/ADORA2A/DRD2	7
GO:0051966	regulation of synaptic transmission, glutamatergic	6/192	77/18986	0.07792207792207792	7.705357142857142	5.959081152692142	1.2923231782783156e-4	0.006853549970049756	0.0053655385106775285	PTGS2/CLN3/CCL2/ADORA2A/DKK1/DRD2	6
GO:0035249	synaptic transmission, glutamatergic	7/192	111/18986	0.06306306306306306	6.236017267267267	5.591977086161575	1.3570564075831171e-4	0.007080770126663523	0.005543425664932055	PTGS2/CLN3/CCL2/ADORA2A/DKK1/SLC17A8/DRD2	7
